cms_certification_number,association_date,owners,pcts,combo_key
,2013-04-16,"DAVIS, LAUREN",NOT APPLICABLE,"DAVIS, LAUREN||NOT APPLICABLE"
,2013-04-23,"BEACHSTAR TRENTON LLC | BRUCKSTEIN, DANIEL | EHRENFELD, EUGENE | MARINA TRENTON LLC",12% | 13% | 13% | 13%,"BEACHSTAR TRENTON LLC | BRUCKSTEIN, DANIEL | EHRENFELD, EUGENE | MARINA TRENTON LLC||12% | 13% | 13% | 13%"
,2013-04-25,LINDA R EARLEY TRUST,50%,LINDA R EARLEY TRUST||50%
,2013-04-30,"FORMAN, MURRAY | HUNT VALLEY HOLDINGS LLC | THI OF BALTIMORE, INC. | THI OF NEVADA LLC",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100%,"FORMAN, MURRAY | HUNT VALLEY HOLDINGS LLC | THI OF BALTIMORE, INC. | THI OF NEVADA LLC||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100%"
,2013-05-01,"GOTTLIEB, SARAH | GOTTLIEB, STEVEN | JOZEFOVIC, HERBERT | NEUMAN, MARK",25% | 50% | 13% | 13%,"GOTTLIEB, SARAH | GOTTLIEB, STEVEN | JOZEFOVIC, HERBERT | NEUMAN, MARK||25% | 50% | 13% | 13%"
,2013-06-01,JOHNSON MEMORIAL HOSPITAL,100%,JOHNSON MEMORIAL HOSPITAL||100%
,2013-06-12,"BRUCKSTEIN, DANIEL | EHRENFELD, EUGENE",50% | 50%,"BRUCKSTEIN, DANIEL | EHRENFELD, EUGENE||50% | 50%"
,2013-06-19,SAMSON HOLDINGS LLC,NO PERCENTAGE PROVIDED,SAMSON HOLDINGS LLC||NO PERCENTAGE PROVIDED
,2013-07-01,"COLUMBUS REGIONAL HOSPITAL | SAMSON, LEE | SAMSON, LEE | SAMSON, LEE",100% | 58% | NO PERCENTAGE PROVIDED | 58%,"COLUMBUS REGIONAL HOSPITAL | SAMSON, LEE | SAMSON, LEE | SAMSON, LEE||100% | 58% | NO PERCENTAGE PROVIDED | 58%"
,2013-07-02,SAMSON HOLDINGS LLC | SAMSON HOLDINGS LLC | SAMSON HOLDINGS LLC | SAMSON HOLDINGS LLC | SAMSON HOLDINGS LLC,NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,SAMSON HOLDINGS LLC | SAMSON HOLDINGS LLC | SAMSON HOLDINGS LLC | SAMSON HOLDINGS LLC | SAMSON HOLDINGS LLC||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED
,2013-07-04,"FESSENDEN, MARTHA",100%,"FESSENDEN, MARTHA||100%"
,2013-07-09,"TOPPER, AARON",100%,"TOPPER, AARON||100%"
,2013-07-22,"ADVOCAT FINANCE, LLC | DIVERSICARE LEASING COMPANY II LLC | DIVERSICARE MANAGEMENT SERVICES LP.",NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED,"ADVOCAT FINANCE, LLC | DIVERSICARE LEASING COMPANY II LLC | DIVERSICARE MANAGEMENT SERVICES LP.||NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED"
,2013-08-21,GHC JV HOLDINGS LLC,NO PERCENTAGE PROVIDED,GHC JV HOLDINGS LLC||NO PERCENTAGE PROVIDED
,2013-10-01,"BRADSHAW, COURTENAY | COLORADO SENIOR RESIDENCES, INC. | DELORME, CHARLES | DELORME, JAN | HENRY COUNTY MEMORIAL HOSPITAL | JOHNSON, MARC | NAUFEL, GHADIR | THORNTON, TIMOTHY | TRIMBLE, GRETCHEN",5% | 100% | 5% | 10% | 100% | 100% | 100% | 70% | 10%,"BRADSHAW, COURTENAY | COLORADO SENIOR RESIDENCES, INC. | DELORME, CHARLES | DELORME, JAN | HENRY COUNTY MEMORIAL HOSPITAL | JOHNSON, MARC | NAUFEL, GHADIR | THORNTON, TIMOTHY | TRIMBLE, GRETCHEN||5% | 100% | 5% | 10% | 100% | 100% | 100% | 70% | 10%"
,2013-10-11,"FREUDENBERGER, JOSEPH",92%,"FREUDENBERGER, JOSEPH||92%"
,2013-10-31,"MSO ASSOCIATES, LLC",55%,"MSO ASSOCIATES, LLC||55%"
,2013-11-01,"B&Y TRUST | CRAIG FLASHNER 2007 TRUST | FIFTEENINONE CORPORATE GROUP INC. | QSST TR FOR ALISON BEEBE SADLER DANOS AND HER DESCENDANTS | QSST TR FOR ALISON BEEBE SADLER DANOS AND HER DESCENDANTS | QSST TR FOR ALISON BEEBE SADLER DANOS AND HER DESCENDANTS | QSST TR FOR FELICIA BEEBE STALLARD AND HER DESCENDANTS | QSST TR FOR FELICIA BEEBE STALLARD AND HER DESCENDANTS | QSST TR FOR FELICIA BEEBE STALLARD AND HER DESCENDANTS | WESTERKAMP, ROBERT",48% | 48% | 100% | 28% | 28% | 33% | 28% | 28% | 33% | 100%,"B&Y TRUST | CRAIG FLASHNER 2007 TRUST | FIFTEENINONE CORPORATE GROUP INC. | QSST TR FOR ALISON BEEBE SADLER DANOS AND HER DESCENDANTS | QSST TR FOR ALISON BEEBE SADLER DANOS AND HER DESCENDANTS | QSST TR FOR ALISON BEEBE SADLER DANOS AND HER DESCENDANTS | QSST TR FOR FELICIA BEEBE STALLARD AND HER DESCENDANTS | QSST TR FOR FELICIA BEEBE STALLARD AND HER DESCENDANTS | QSST TR FOR FELICIA BEEBE STALLARD AND HER DESCENDANTS | WESTERKAMP, ROBERT||48% | 48% | 100% | 28% | 28% | 33% | 28% | 28% | 33% | 100%"
,2013-11-19,THE LARSON FAMILY TRUST OF 2010 | THE LARSON FAMILY TRUST OF 2010,NO PERCENTAGE PROVIDED | 6%,THE LARSON FAMILY TRUST OF 2010 | THE LARSON FAMILY TRUST OF 2010||NO PERCENTAGE PROVIDED | 6%
,2013-11-20,"BIDDULPH, GREGORY | HUNTSMAN, CASEY",8% | 8%,"BIDDULPH, GREGORY | HUNTSMAN, CASEY||8% | 8%"
,2013-12-01,"PROTO EQUITY HOLDINGS, LLC | SAVASENIORCARE LLC | SWC EQUITY HOLDINGS LLC | SWC EQUITY HOLDINGS PARENT HOLDCO LLC | SWC NEW HAMPSHIRE HOLDCO LLC | TERPAX, INC.",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"PROTO EQUITY HOLDINGS, LLC | SAVASENIORCARE LLC | SWC EQUITY HOLDINGS LLC | SWC EQUITY HOLDINGS PARENT HOLDCO LLC | SWC NEW HAMPSHIRE HOLDCO LLC | TERPAX, INC.||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,2013-12-19,"FEIGEN, LAWRENCE | FELDMAN, DONNY",30% | NO PERCENTAGE PROVIDED,"FEIGEN, LAWRENCE | FELDMAN, DONNY||30% | NO PERCENTAGE PROVIDED"
,2014-01-01,"ALLEGHENY LUTHERAN SOCIAL MINISTRIES INC. | ALLEGHENY LUTHERAN SOCIAL MINISTRIES INC. | BARRIOS, MARIA | COLUMBUS REGIONAL HOSPITAL | DAVIS, ALAN | HANCOCK REGIONAL HOSPITAL | JMMG ADVISORS LLC | MARNA HEALTH SERVICES INC | PEAK MEDICAL LLC | PEAK MEDICAL OF COLORADO, LLC | PELMAN, JONATHAN | REZENDES, LORRIE",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 25% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 9% | NO PERCENTAGE PROVIDED,"ALLEGHENY LUTHERAN SOCIAL MINISTRIES INC. | ALLEGHENY LUTHERAN SOCIAL MINISTRIES INC. | BARRIOS, MARIA | COLUMBUS REGIONAL HOSPITAL | DAVIS, ALAN | HANCOCK REGIONAL HOSPITAL | JMMG ADVISORS LLC | MARNA HEALTH SERVICES INC | PEAK MEDICAL LLC | PEAK MEDICAL OF COLORADO, LLC | PELMAN, JONATHAN | REZENDES, LORRIE||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 25% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 9% | NO PERCENTAGE PROVIDED"
,2014-02-01,"ABSHIRE, PAMELA | ANNIVERSARY HOLDING COMPANY | BYROM, DAVID | CHRISTOPHER DALE GLASGOW FAMILY 1 TRUST | DYNASTY HEALTHCARE GROUP LLC | DYNASTY HEALTHCARE SERVICES, LLC | GATEWAY HEALTHCARE LLC | GLASGOW, CHRISTOPHER | IMMEL, TANYA | LAKEVIEW INVESTMENT GROUP LLC | PAMELA DANIELLE GLASGOW FAMILY 1 TRUST | SOLID ROCK FAMILY LLC | TANYA DENIS GLASGOW FAMILY 1 TRUST",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"ABSHIRE, PAMELA | ANNIVERSARY HOLDING COMPANY | BYROM, DAVID | CHRISTOPHER DALE GLASGOW FAMILY 1 TRUST | DYNASTY HEALTHCARE GROUP LLC | DYNASTY HEALTHCARE SERVICES, LLC | GATEWAY HEALTHCARE LLC | GLASGOW, CHRISTOPHER | IMMEL, TANYA | LAKEVIEW INVESTMENT GROUP LLC | PAMELA DANIELLE GLASGOW FAMILY 1 TRUST | SOLID ROCK FAMILY LLC | TANYA DENIS GLASGOW FAMILY 1 TRUST||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,2014-02-21,WABASH CHRISTIAN THERAPY AND MEDICAL CLINIC LLC | WABASH CHRISTIAN THERAPY AND MEDICAL CLINIC LLC | WABASH CHRISTIAN THERAPY AND MEDICAL CLINIC LLC,5% | 5% | 5%,WABASH CHRISTIAN THERAPY AND MEDICAL CLINIC LLC | WABASH CHRISTIAN THERAPY AND MEDICAL CLINIC LLC | WABASH CHRISTIAN THERAPY AND MEDICAL CLINIC LLC||5% | 5% | 5%
,2014-03-01,NATIONAL HEALTH CORPORATION | NATIONAL HEALTH CORPORATION | NATIONAL HEALTHCARE CORPORATION | NATIONAL HEALTHCARE CORPORATION | NHC-OP LP | NHC-OP LP,NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 100%,NATIONAL HEALTH CORPORATION | NATIONAL HEALTH CORPORATION | NATIONAL HEALTHCARE CORPORATION | NATIONAL HEALTHCARE CORPORATION | NHC-OP LP | NHC-OP LP||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 100%
,2014-03-25,"75TH AND EXCHANGE LLC | FELSENSTEIN, DANIEL | FELSENSTEIN, RIVKA | KLIERS, YAEL | NMA HEALTHCARE LLC",19% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 16%,"75TH AND EXCHANGE LLC | FELSENSTEIN, DANIEL | FELSENSTEIN, RIVKA | KLIERS, YAEL | NMA HEALTHCARE LLC||19% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 16%"
,2014-03-27,"BRAWN, DOUGLAS | MAGARGEE, KENNETH | RASBAND, MATTHEW | VALDEZ, VINCENT",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"BRAWN, DOUGLAS | MAGARGEE, KENNETH | RASBAND, MATTHEW | VALDEZ, VINCENT||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,2014-04-01,"MASTERNICK, JOHN",100%,"MASTERNICK, JOHN||100%"
,2014-04-10,"BENOIT HOLDINGS LLC | BENOIT HOLDINGS LLC | DRAKE LOUIS ENTERPRISE, LLC | DRAKE LOUIS ENTERPRISE, LLC | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | SYMDIANA HEALTHCARE LLC | SYMDIANA HEALTHCARE LLC | SYMDIANA HOLDINGS LLC | SYMDIANA HOLDINGS LLC",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"BENOIT HOLDINGS LLC | BENOIT HOLDINGS LLC | DRAKE LOUIS ENTERPRISE, LLC | DRAKE LOUIS ENTERPRISE, LLC | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | FAIRHOME TRUST UAD 12312012 | SYMDIANA HEALTHCARE LLC | SYMDIANA HEALTHCARE LLC | SYMDIANA HOLDINGS LLC | SYMDIANA HOLDINGS LLC||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,2014-04-15,BURLESON COUNTY HOSPITAL DISTRICT | GRAND AVENUE WELLNESS GP LLC | GRAND AVENUE WELLNESS GP LLC,100% | NOT APPLICABLE | NOT APPLICABLE,BURLESON COUNTY HOSPITAL DISTRICT | GRAND AVENUE WELLNESS GP LLC | GRAND AVENUE WELLNESS GP LLC||100% | NOT APPLICABLE | NOT APPLICABLE
,2014-05-01,"GUNNISON VALLEY HOSPITAL | NIELSON, KENNETH | PIZAM, HAIM",100% | 50% | 50%,"GUNNISON VALLEY HOSPITAL | NIELSON, KENNETH | PIZAM, HAIM||100% | 50% | 50%"
,2014-05-04,HOSPITAL AUTHORITY OF VALDOSTA AND LOWNDES COUNTY GEORGIA,100%,HOSPITAL AUTHORITY OF VALDOSTA AND LOWNDES COUNTY GEORGIA||100%
,2014-05-29,"MCCANLESS, CLAIRE",50%,"MCCANLESS, CLAIRE||50%"
,2014-05-30,"CHICO WELLNESS GP, LLC | RECHNITZ, SHLOMO | STEVE KEH TR DATED 05-30-2014",NOT APPLICABLE | NOT APPLICABLE | NO PERCENTAGE PROVIDED,"CHICO WELLNESS GP, LLC | RECHNITZ, SHLOMO | STEVE KEH TR DATED 05-30-2014||NOT APPLICABLE | NOT APPLICABLE | NO PERCENTAGE PROVIDED"
,2014-07-01,"PHELPS, JULIE | PHELPS, JULIE | PULASKI MEMORIAL HOSPITAL | SABER HEALTHCARE HOLDINGS, LLC | SOUTHERN INVESTMENT LEASING COMPANY LLC | WRAY COMMUNITY LONG TERM CARE, INC. | WRAY COMMUNITY LONG TERM CARE, INC.",21% | 21% | 100% | 100% | 100% | 100% | 100%,"PHELPS, JULIE | PHELPS, JULIE | PULASKI MEMORIAL HOSPITAL | SABER HEALTHCARE HOLDINGS, LLC | SOUTHERN INVESTMENT LEASING COMPANY LLC | WRAY COMMUNITY LONG TERM CARE, INC. | WRAY COMMUNITY LONG TERM CARE, INC.||21% | 21% | 100% | 100% | 100% | 100% | 100%"
,2014-07-08,"DAVID, ROCHEL | FARKOWITZ, ESTHER | FRIEDMAN, LEAH | LEIFER, JOEL | PHILIPSON, AVI",13% | 25% | 13% | 25% | 24%,"DAVID, ROCHEL | FARKOWITZ, ESTHER | FRIEDMAN, LEAH | LEIFER, JOEL | PHILIPSON, AVI||13% | 25% | 13% | 25% | 24%"
,2014-07-21,"CHICO HEIGHTS WELLNESS GP LLC | CHICO HEIGHTS WELLNESS GP LLC | EMERSON, CHERYL | EMERSON, CHERYL | EMRY, KENT | EMRY, KENT | PHELPS, JULIE | PHELPS, JULIE | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO",NOT APPLICABLE | NOT APPLICABLE | 21% | 21% | 58% | 58% | 21% | 21% | NOT APPLICABLE | NOT APPLICABLE,"CHICO HEIGHTS WELLNESS GP LLC | CHICO HEIGHTS WELLNESS GP LLC | EMERSON, CHERYL | EMERSON, CHERYL | EMRY, KENT | EMRY, KENT | PHELPS, JULIE | PHELPS, JULIE | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO||NOT APPLICABLE | NOT APPLICABLE | 21% | 21% | 58% | 58% | 21% | 21% | NOT APPLICABLE | NOT APPLICABLE"
,2014-07-22,"COMMUNITY CARE CENTER OF GAINESVILLE, INC",NO PERCENTAGE PROVIDED,"COMMUNITY CARE CENTER OF GAINESVILLE, INC||NO PERCENTAGE PROVIDED"
,2014-08-01,"BAY VISTA WELLNESS GP, LLC | BROOKDALE WELLNESS GP LLC | BROOKDALE WELLNESS GP LLC | CHICO TERRACE WELLNESS GP LLC | CHICO TERRACE WELLNESS GP LLC | CHICO WELLNESS GP, LLC | EAST TERRACE WELLNESS GP LLC | GARDENVIEW WELLNESS GP LLC | GARDENVIEW WELLNESS GP LLC | KUPPERMANN, ALAIN | LOS ANGELES WELLNESS GP LLC | LOS FELIZ WELLNESS GP LLC | LYNCH, JOSE | LYNCH, JOSE | LYNCH, JOSE | LYNCH, JOSE | MAJER, SOL | MAJER, SOL | MAR VISTA WELLNESS GP LLC | NORTH HILLS WELLNESS GP LLC | NORTH PALMS WELLNESS GP LLC | NORTH POINT WELLNESS GP LLC | ONTARIO GROVE WELLNESS GP, LLC | PAVILION ON PICO WELLNESS GP LLC | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | SANTA ANA WELLNESS GP LLC | SANTA ANA WELLNESS GP LLC | THE MEDICAL CENTER LLC | WEST HOLLYWOOD WELLNESS GP LLC | WESTWOOD WELLNES GP, LLC | WESTWOOD WELLNESS GP LLC",NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | 7% | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE,"BAY VISTA WELLNESS GP, LLC | BROOKDALE WELLNESS GP LLC | BROOKDALE WELLNESS GP LLC | CHICO TERRACE WELLNESS GP LLC | CHICO TERRACE WELLNESS GP LLC | CHICO WELLNESS GP, LLC | EAST TERRACE WELLNESS GP LLC | GARDENVIEW WELLNESS GP LLC | GARDENVIEW WELLNESS GP LLC | KUPPERMANN, ALAIN | LOS ANGELES WELLNESS GP LLC | LOS FELIZ WELLNESS GP LLC | LYNCH, JOSE | LYNCH, JOSE | LYNCH, JOSE | LYNCH, JOSE | MAJER, SOL | MAJER, SOL | MAR VISTA WELLNESS GP LLC | NORTH HILLS WELLNESS GP LLC | NORTH PALMS WELLNESS GP LLC | NORTH POINT WELLNESS GP LLC | ONTARIO GROVE WELLNESS GP, LLC | PAVILION ON PICO WELLNESS GP LLC | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | RECHNITZ, SHLOMO | SANTA ANA WELLNESS GP LLC | SANTA ANA WELLNESS GP LLC | THE MEDICAL CENTER LLC | WEST HOLLYWOOD WELLNESS GP LLC | WESTWOOD WELLNES GP, LLC | WESTWOOD WELLNESS GP LLC||NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE | 7% | NOT APPLICABLE | NOT APPLICABLE | NOT APPLICABLE"
,2014-08-15,WEST PICO TERRACE WELLNESS GP LLC,NOT APPLICABLE,WEST PICO TERRACE WELLNESS GP LLC||NOT APPLICABLE
,2014-08-22,WINNIE-STOWELL HOSPITAL DISTRICT,100%,WINNIE-STOWELL HOSPITAL DISTRICT||100%
,2014-08-29,"CCRC OPCO VENTURES LLC | CCRC OPCO VENTURES, LLC | S-H FORTY-NINE OPCO VENTURES LLC | S-H FORTY-NINE OPCO VENTURES LLC",100% | 100% | 100% | 100%,"CCRC OPCO VENTURES LLC | CCRC OPCO VENTURES, LLC | S-H FORTY-NINE OPCO VENTURES LLC | S-H FORTY-NINE OPCO VENTURES LLC||100% | 100% | 100% | 100%"
,2014-08-31,STRATFORD HOSPITAL DISTRICT,100%,STRATFORD HOSPITAL DISTRICT||100%
,2014-09-01,"BEAUMONT HEALTH | BEAUMONT HEALTH | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, HAROLD | DELAMARTER, HAROLD | DELAMARTER, HAROLD | PRESTIGE CARE INC | PRESTIGE CARE INC | PRESTIGE CARE, INC. | PRESTIGE CARE, INC. | VISLOCKY, GREGORY | VISLOCKY, GREGORY | VISLOCKY, GREGORY",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"BEAUMONT HEALTH | BEAUMONT HEALTH | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, HAROLD | DELAMARTER, HAROLD | DELAMARTER, HAROLD | PRESTIGE CARE INC | PRESTIGE CARE INC | PRESTIGE CARE, INC. | PRESTIGE CARE, INC. | VISLOCKY, GREGORY | VISLOCKY, GREGORY | VISLOCKY, GREGORY||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,2014-09-22,"EMRY, KENT",60%,"EMRY, KENT||60%"
,2014-09-23,JOHNSON CHRISTIAN  VILLAGE CARE CENTER LLC | JOHNSON CHRISTIAN  VILLAGE CARE CENTER LLC,5% | 5%,JOHNSON CHRISTIAN  VILLAGE CARE CENTER LLC | JOHNSON CHRISTIAN  VILLAGE CARE CENTER LLC||5% | 5%
,2014-09-30,JACK COUNTY HOSPITAL DISTRICT,100%,JACK COUNTY HOSPITAL DISTRICT||100%
